Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
76527,3965,15.9,83.5,0.0,0.1,0.4,0.0,99.9,0.277477,2013,Florence
76530,2410,25.5,68.8,5.4,0.0,0.2,0.1,100.0,0.45871000000000006,2013,Granger
76537,4075,28.5,67.8,1.0,0.4,0.5,1.8,100.0,0.458626,2013,Jarrell
76573,16,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2013,Schwertner
76574,18037,36.8,51.1,9.8,0.0,0.2,2.2,100.10000000000001,0.5933630000000001,2013,Taylor
76578,1709,14.5,77.6,4.5,0.0,0.0,3.3,99.89999999999999,0.37368500000000016,2013,Thrall
78602,26278,26.0,61.8,8.9,0.4,0.9,1.9,99.90000000000002,0.542097,2013,Bastrop
78610,25580,39.6,55.7,2.1,0.2,1.1,1.3,100.0,0.5322,2013,Buda
78612,10807,39.0,50.2,8.8,0.0,1.4,0.7,100.10000000000001,0.587907,2013,Cedar Creek
78613,68426,15.6,70.6,4.1,0.2,7.0,2.5,99.99999999999999,0.47001800000000005,2013,Cedar Park
78615,818,9.2,90.2,0.0,0.0,0.0,0.6,100.0,0.17789599999999994,2013,Coupland
78616,5645,47.3,49.5,1.5,0.5,0.0,1.2,100.0,0.5308520000000001,2013,Cedar Creek
78617,21096,65.2,19.8,10.5,0.3,2.1,2.1,99.99999999999999,0.5237759999999999,2013,Austin
78619,3446,3.4,95.8,0.1,0.0,0.3,0.3,99.89999999999999,0.08106100000000005,2013,Driftwood
78620,14660,12.0,84.9,0.5,0.5,0.5,1.6,100.0,0.2644679999999997,2013,Dripping Springs
78621,21863,38.1,50.0,9.0,0.1,0.5,2.2,99.89999999999999,0.5962290000000001,2013,Elgin
78622,201,66.2,33.8,0.0,0.0,0.0,0.0,100.0,0.447512,2013,Fentress
78626,27346,38.4,55.0,4.3,0.0,0.9,1.4,100.00000000000001,0.547918,2013,Georgetown
78628,24603,17.1,78.2,2.3,0.0,1.1,1.3,100.0,0.35841599999999996,2013,Georgetown
78633,18462,4.8,92.4,0.7,0.4,1.3,0.3,99.9,0.14367699999999983,2013,Georgetown
78634,24306,29.5,54.2,14.3,0.0,0.4,1.6,100.0,0.59849,2013,Hutto
78640,43427,53.0,39.2,5.7,0.2,0.8,1.0,99.9,0.5620189999999999,2013,Kyle
78641,48854,24.1,68.8,2.8,0.2,1.9,2.1,99.9,0.4669850000000001,2013,Leander
78642,9341,14.6,82.4,0.7,0.4,0.4,1.5,100.00000000000001,0.29940199999999983,2013,Liberty Hill
78644,17542,49.0,42.3,7.0,0.2,0.30000000000000004,1.2,100.0,0.575914,2013,Lockhart
78645,10148,10.5,87.3,0.9,0.2,0.3,0.9,100.10000000000001,0.22667100000000007,2013,Lago Vista
78648,7866,33.5,57.3,9.0,0.1,0.0,0.1,99.99999999999999,0.5513440000000001,2013,Luling
78650,1746,33.0,66.2,0.3,0.0,0.0,0.5,100.0,0.45282199999999995,2013,Mc Dade
78652,5117,30.7,66.0,1.6,0.0,1.1,0.6,99.99999999999999,0.4697379999999999,2013,San Leanna
78653,16917,50.9,24.4,21.8,0.0,1.8,1.1,99.99999999999999,0.633414,2013,Manor
78655,3917,64.9,29.3,5.0,0.0,0.0,0.8,100.0,0.490386,2013,Martindale
78656,2118,66.4,32.4,1.2,0.0,0.0,0.0,100.00000000000001,0.45398399999999994,2013,Maxwell
78659,3140,5.9,89.5,3.9,0.0,0.8,0.0,100.10000000000001,0.1939090000000001,2013,Paige
78660,75038,30.5,43.1,14.5,0.3,10.0,1.5999999999999999,99.99999999999999,0.689924,2013,Pflugerville
78661,312,46.8,38.5,14.7,0.0,0.0,0.0,100.0,0.6111420000000001,2013,Prairie Lea
78662,3266,18.1,81.9,0.0,0.0,0.0,0.0,100.0,0.2964779999999999,2013,Red Rock
78664,57806,36.8,44.2,11.6,0.2,4.3,2.9,100.0,0.653062,2013,Round Rock
78665,36291,24.3,58.6,7.7,0.1,7.5,1.6,99.8,0.585744,2013,Round Rock
78666,66027,42.9,49.1,4.5,0.4,1.5,1.5,99.9,0.5723870000000001,2013,San Marcos
78669,8418,9.5,87.9,1.8,0.0,0.5,0.4,100.10000000000001,0.21796899999999986,2013,Spicewood
78676,12453,7.2,88.5,1.2,0.6,0.7,1.8,100.0,0.21103799999999995,2013,Wimberley
78681,54141,19.2,64.8,4.6,0.6,7.6,3.1,99.89999999999998,0.534343,2013,Round Rock
78701,5915,13.8,70.7,5.2,0.0,7.7,2.6,100.0,0.47179799999999994,2013,Austin
78702,21655,55.6,27.2,14.1,0.1,1.1,1.7999999999999998,99.89999999999998,0.596553,2013,Austin
78703,19860,8.2,83.1,1.6,0.7,4.4,2.1,100.1,0.300033,2013,Austin
78704,41999,26.6,66.1,3.2,0.2,1.6,2.2,99.89999999999999,0.4905550000000001,2013,Austin
78705,31282,17.3,61.5,4.0,0.1,14.5,2.6999999999999997,100.1,0.5684910000000001,2013,Austin
78712,548,18.4,65.3,8.0,0.0,8.2,0.0,99.89999999999999,0.5266109999999999,2013,Austin
78717,24099,13.2,63.3,4.0,0.0,16.5,3.0,100.0,0.552162,2013,Austin
78719,1746,66.3,30.6,3.0,0.0,0.0,0.0,99.9,0.46589500000000017,2013,Austin
78721,11482,53.0,13.2,31.5,0.4,0.30000000000000004,1.8,100.2,0.6021019999999999,2013,Austin
78722,6355,20.1,63.7,10.1,0.6,4.3,1.1,99.89999999999999,0.5416230000000001,2013,Austin
78723,31234,43.9,29.2,23.4,0.2,1.9,1.5,100.10000000000001,0.666669,2013,Austin
78724,21454,63.3,8.3,26.7,0.1,0.5,1.1,99.99999999999999,0.5209860000000001,2013,Austin
78725,8169,56.8,14.8,26.9,0.0,0.4,1.2,100.10000000000001,0.582951,2013,Austin
78726,13181,17.9,64.6,3.7,0.4,12.5,0.8,99.9,0.5335690000000002,2013,Austin
78727,28563,17.7,57.2,6.9,0.0,15.5,2.8000000000000003,100.10000000000001,0.6119169999999998,2013,Austin
78728,20817,25.9,44.6,16.3,0.7,8.899999999999999,3.6,100.0,0.6981679999999999,2013,Austin
78729,26906,19.0,59.2,9.1,0.2,9.5,3.1,100.1,0.5951649999999999,2013,Austin
78730,8916,7.1,84.2,0.3,0.0,6.4,1.9,99.9,0.2815289999999999,2013,Austin
78731,25575,8.9,78.7,2.5,0.0,7.8,2.0,99.9,0.36560099999999995,2013,Austin
78732,15097,8.2,79.2,1.0,0.6,8.7,2.2,99.9,0.3578229999999998,2013,Austin
78733,9475,9.2,78.3,0.0,0.1,9.9,2.4,99.9,0.3680690000000001,2013,Austin
78734,18290,20.3,75.3,0.4,0.2,3.3,0.6,100.1,0.390637,2013,Lakeway
78735,17118,15.7,73.9,1.1,0.0,7.6,1.6,99.89999999999999,0.4230769999999998,2013,Austin
78736,6599,15.9,75.7,0.5,0.0,6.5,1.5,100.10000000000001,0.39719499999999985,2013,Austin
78737,13539,15.5,79.4,1.3,0.0,2.9,0.9,100.00000000000001,0.34444799999999987,2013,Austin
78738,13141,10.0,79.4,1.2,0.1,7.2,2.0,99.9,0.3538349999999999,2013,Bee Cave
78739,17198,15.8,70.3,0.8,0.6,6.6,5.8999999999999995,99.99999999999999,0.47289000000000003,2013,Austin
78741,48654,62.8,21.4,9.7,0.0,3.8000000000000003,2.3000000000000003,99.99999999999999,0.548438,2013,Austin
78742,810,63.5,31.1,4.6,0.0,0.0,0.9,100.1,0.497857,2013,Austin
78744,44375,76.1,14.9,7.3,0.1,0.4,1.2000000000000002,100.0,0.393188,2013,Austin
78745,57559,40.4,51.5,4.3,0.5,1.4,1.8,99.9,0.5691650000000001,2013,Austin
78746,27506,8.5,80.4,0.7,0.1,7.7,2.6,100.0,0.3397039999999999,2013,Austin
78747,15919,54.4,30.8,7.6,0.2,4.0,2.9,99.9,0.6009789999999999,2013,Austin
78748,41710,33.5,57.3,4.1,0.1,3.5,1.5,99.99999999999999,0.5563140000000002,2013,Austin
78749,34392,21.6,65.7,3.4,0.5,6.9,2.0,100.10000000000002,0.515353,2013,Austin
78750,27012,14.3,68.5,3.4,0.0,11.6,2.2,100.0,0.49522999999999995,2013,Austin
78751,14045,13.8,74.3,1.4,0.0,5.7,4.8999999999999995,100.10000000000001,0.423061,2013,Austin
78752,18381,59.0,25.0,12.0,0.1,2.7,1.2,100.0,0.5741260000000001,2013,Austin
78753,52674,59.1,21.0,12.2,0.2,6.1,1.4000000000000001,100.0,0.5878140000000001,2013,Austin
78754,15109,31.8,29.7,18.4,0.1,16.9,3.1,100.0,0.7472880000000001,2013,Austin
78756,8125,9.1,80.2,4.3,0.0,4.5,1.8,99.89999999999999,0.3443169999999999,2013,Austin
78757,22655,22.2,71.9,2.1,0.2,2.4,1.1,99.9,0.4326129999999998,2013,Austin
78758,45623,48.4,31.9,10.6,0.2,7.199999999999999,1.7000000000000002,100.0,0.64727,2013,Austin
78759,39895,11.8,70.9,2.7,0.1,11.5,3.0,100.0,0.46853999999999973,2013,Austin
78953,804,31.7,68.3,0.0,0.0,0.0,0.0,100.0,0.433022,2013,Rosanky
78957,8502,17.9,68.6,10.3,1.3,0.8,1.1,99.99999999999999,0.48640000000000017,2013,Smithville
